id 	 Energy 	 RxCoord
1 	 -0.03124 	 -10.89988
2 	 -0.03117 	 -10.46726
3 	 -0.03107 	 -10.03493
4 	 -0.03094 	 -9.59966
5 	 -0.03082 	 -9.16396
6 	 -0.03072 	 -8.73343
7 	 -0.03062 	 -8.29889
8 	 -0.03050 	 -7.86279
9 	 -0.03034 	 -7.42629
10 	 -0.03011 	 -6.98995
11 	 -0.02979 	 -6.55357
12 	 -0.02936 	 -6.11688
13 	 -0.02878 	 -5.67999
14 	 -0.02802 	 -5.24307
15 	 -0.02704 	 -4.80615
16 	 -0.02579 	 -4.36922
17 	 -0.02421 	 -3.93227
18 	 -0.02228 	 -3.49528
19 	 -0.01994 	 -3.05828
20 	 -0.01717 	 -2.62129
21 	 -0.01397 	 -2.18431
22 	 -0.01045 	 -1.74740
23 	 -0.00681 	 -1.31056
24 	 -0.00343 	 -0.87372
25 	 -0.00096 	 -0.43690
26 	 0.00000 	 0.00000
27 	 -0.00119 	 0.43693
28 	 -0.00524 	 0.87385
29 	 -0.01263 	 1.31084
30 	 -0.02307 	 1.74782
31 	 -0.03561 	 2.18478
32 	 -0.04917 	 2.62171
33 	 -0.06277 	 3.05864
34 	 -0.07546 	 3.49555
35 	 -0.08626 	 3.93240
36 	 -0.09410 	 4.36891
37 	 -0.09807 	 4.80105
38 	 -0.09898 	 5.18750
