id 	 Energy 	 RxCoord 	 X64 	 Z66
1 	 -0.00153 	 -2.64691 	 2.11296 	 -4.13801
2 	 -0.00150 	 -2.48161 	 2.11300 	 -4.14058
3 	 -0.00147 	 -2.31638 	 2.11389 	 -4.14308
4 	 -0.00143 	 -2.15112 	 2.11570 	 -4.14529
5 	 -0.00137 	 -1.98575 	 2.11835 	 -4.14701
6 	 -0.00131 	 -1.82026 	 2.12165 	 -4.14809
7 	 -0.00123 	 -1.65470 	 2.12539 	 -4.14847
8 	 -0.00114 	 -1.48909 	 2.12938 	 -4.14813
9 	 -0.00103 	 -1.32345 	 2.13345 	 -4.14707
10 	 -0.00090 	 -1.15780 	 2.13748 	 -4.14530
11 	 -0.00077 	 -0.99215 	 2.14134 	 -4.14281
12 	 -0.00062 	 -0.82649 	 2.14493 	 -4.13962
13 	 -0.00047 	 -0.66085 	 2.14814 	 -4.13574
14 	 -0.00032 	 -0.49522 	 2.15089 	 -4.13120
15 	 -0.00018 	 -0.32962 	 2.15307 	 -4.12610
16 	 -0.00006 	 -0.16409 	 2.15464 	 -4.12060
1 	 0.00000 	 0.00000 	 2.15537 	 -4.11551
2 	 -0.00012 	 0.16415 	 2.15581 	 -4.11203
3 	 -0.00063 	 0.32915 	 2.15593 	 -4.11114
4 	 -0.00141 	 0.49336 	 2.15602 	 -4.11326
5 	 -0.00212 	 0.65796 	 2.15647 	 -4.11857
6 	 -0.00270 	 0.82265 	 2.15761 	 -4.12534
7 	 -0.00321 	 0.98761 	 2.15966 	 -4.13265
8 	 -0.00367 	 1.15305 	 2.16238 	 -4.13998
9 	 -0.00413 	 1.31869 	 2.16546 	 -4.14715
10 	 -0.00457 	 1.48438 	 2.16868 	 -4.15416
11 	 -0.00501 	 1.65009 	 2.17198 	 -4.16104
12 	 -0.00544 	 1.81581 	 2.17530 	 -4.16783
13 	 -0.00587 	 1.98153 	 2.17864 	 -4.17454
14 	 -0.00629 	 2.14726 	 2.18200 	 -4.18118
15 	 -0.00671 	 2.31298 	 2.18536 	 -4.18777
16 	 -0.00713 	 2.47871 	 2.18872 	 -4.19430
17 	 -0.00755 	 2.64444 	 2.19210 	 -4.20077
18 	 -0.00797 	 2.81017 	 2.19548 	 -4.20718
19 	 -0.00838 	 2.97590 	 2.19886 	 -4.21354
20 	 -0.00880 	 3.14163 	 2.20225 	 -4.21984
21 	 -0.00921 	 3.30736 	 2.20565 	 -4.22608
22 	 -0.00962 	 3.47309 	 2.20906 	 -4.23227
23 	 -0.01003 	 3.63882 	 2.21248 	 -4.23839
24 	 -0.01044 	 3.80455 	 2.21591 	 -4.24446
25 	 -0.01084 	 3.97029 	 2.21937 	 -4.25047
26 	 -0.01125 	 4.13602 	 2.22286 	 -4.25643
27 	 -0.01165 	 4.30175 	 2.22638 	 -4.26233
28 	 -0.01205 	 4.46748 	 2.22994 	 -4.26817
29 	 -0.01244 	 4.63321 	 2.23354 	 -4.27395
30 	 -0.01283 	 4.79895 	 2.23719 	 -4.27968
31 	 -0.01322 	 4.96468 	 2.24088 	 -4.28534
32 	 -0.01361 	 5.13041 	 2.24463 	 -4.29093
33 	 -0.01399 	 5.29615 	 2.24842 	 -4.29646
34 	 -0.01437 	 5.46188 	 2.25227 	 -4.30192
35 	 -0.01474 	 5.62761 	 2.25618 	 -4.30731
36 	 -0.01511 	 5.79335 	 2.26016 	 -4.31262
37 	 -0.01548 	 5.95908 	 2.26421 	 -4.31787
38 	 -0.01584 	 6.12481 	 2.26834 	 -4.32305
39 	 -0.01619 	 6.29054 	 2.27257 	 -4.32817
40 	 -0.01654 	 6.45628 	 2.27691 	 -4.33323
41 	 -0.01689 	 6.62201 	 2.28135 	 -4.33823
42 	 -0.01723 	 6.78774 	 2.28593 	 -4.34318
43 	 -0.01756 	 6.95347 	 2.29063 	 -4.34807
44 	 -0.01789 	 7.11920 	 2.29546 	 -4.35289
45 	 -0.01821 	 7.28494 	 2.30043 	 -4.35765
46 	 -0.01852 	 7.45067 	 2.30553 	 -4.36234
47 	 -0.01883 	 7.61640 	 2.31078 	 -4.36696
48 	 -0.01913 	 7.78213 	 2.31617 	 -4.37149
49 	 -0.01943 	 7.94786 	 2.32170 	 -4.37593
50 	 -0.01972 	 8.11359 	 2.32738 	 -4.38028
51 	 -0.02000 	 8.27932 	 2.33321 	 -4.38452
52 	 -0.02028 	 8.44505 	 2.33919 	 -4.38867
53 	 -0.02055 	 8.61079 	 2.34532 	 -4.39269
54 	 -0.02082 	 8.77652 	 2.35159 	 -4.39660
55 	 -0.02108 	 8.94225 	 2.35800 	 -4.40037
56 	 -0.02133 	 9.10798 	 2.36455 	 -4.40400
57 	 -0.02158 	 9.27371 	 2.37122 	 -4.40747
58 	 -0.02182 	 9.43944 	 2.37800 	 -4.41078
59 	 -0.02206 	 9.60517 	 2.38490 	 -4.41391
60 	 -0.02230 	 9.77090 	 2.39189 	 -4.41686
61 	 -0.02253 	 9.93663 	 2.39896 	 -4.41962
62 	 -0.02275 	 10.10236 	 2.40610 	 -4.42218
63 	 -0.02297 	 10.26810 	 2.41331 	 -4.42453
64 	 -0.02319 	 10.43383 	 2.42058 	 -4.42666
65 	 -0.02340 	 10.59956 	 2.42789 	 -4.42858
66 	 -0.02361 	 10.76529 	 2.43523 	 -4.43027
