id 	 Energy 	 RxCoord 	 Y1
1 	 -0.00153 	 -2.64691 	 0.09473
2 	 -0.00150 	 -2.48161 	 0.09418
3 	 -0.00147 	 -2.31638 	 0.09370
4 	 -0.00143 	 -2.15112 	 0.09332
5 	 -0.00137 	 -1.98575 	 0.09312
6 	 -0.00131 	 -1.82026 	 0.09313
7 	 -0.00123 	 -1.65470 	 0.09336
8 	 -0.00114 	 -1.48909 	 0.09383
9 	 -0.00103 	 -1.32345 	 0.09451
10 	 -0.00090 	 -1.15780 	 0.09539
11 	 -0.00077 	 -0.99215 	 0.09647
12 	 -0.00062 	 -0.82649 	 0.09770
13 	 -0.00047 	 -0.66085 	 0.09908
14 	 -0.00032 	 -0.49522 	 0.10056
15 	 -0.00018 	 -0.32962 	 0.10212
16 	 -0.00006 	 -0.16409 	 0.10370
1 	 0.00000 	 0.00000 	 0.10518
2 	 -0.00012 	 0.16415 	 0.10651
3 	 -0.00063 	 0.32915 	 0.10759
4 	 -0.00141 	 0.49336 	 0.10876
5 	 -0.00212 	 0.65796 	 0.11032
6 	 -0.00270 	 0.82265 	 0.11214
7 	 -0.00321 	 0.98761 	 0.11403
8 	 -0.00367 	 1.15305 	 0.11587
9 	 -0.00413 	 1.31869 	 0.11764
